基金代码,基金名称,场内价格,场内涨幅(%),估算净值,估算涨幅(%),溢价率(%),套利信号,状态
501096,国联安科创混合(LOF),1.6020,-1.90%,1.6375,0.08%,-2.17,折价买入(转场内赎回),T-1:1.6362 v_active_top10_blend
501097,国寿安保科技创新混合(LOF),1.9530,-3.22%,1.9981,0.09%,-2.26,折价买入(转场内赎回),T-1:1.9963 v_active_top10_blend
501098,建信优享科技创新混合(LOF),1.7350,1.58%,1.7193,0.10%,0.91,无明显机会,T-1:1.7175 v_active_top10_blend
501099,平安新兴产业混合(LOF),3.2850,-3.10%,3.3872,0.10%,-3.02,折价买入(转场内赎回),T-1:3.3838 v_active_top10_blend
501100,博时安康定开债(LOF),0.0000,0.00%,1.1270,0.51%,0.00,数据不足,T-1:1.1212 v_active_bench_csi1000
501186,华夏兴融混合(LOF)A,0.8010,0.00%,0.8132,0.00%,-1.50,折价买入(转场内赎回),T-1:0.8132 v_active_top10
501188,汇添富核心精选混合(LOF),1.1260,-2.85%,1.1293,0.07%,-0.30,无明显机会,T-1:1.1286 v_active_top10_blend
501189,嘉实产业优选混合(LOF)A,0.9480,-1.04%,0.9734,0.08%,-2.61,折价买入(转场内赎回),T-1:0.9726 v_active_top10_blend
501200,民生加银科技创新混合(LOF),1.4970,2.25%,1.4677,0.11%,1.99,溢价卖出(申购转场内),T-1:1.4661 v_active_top10_blend
501201,红土创新科技创新股票(LOF)A,2.4000,-2.87%,2.4741,0.13%,-3.00,折价买入(转场内赎回),T-1:2.4710 v_active_top10_blend
501203,易方达创新未来混合(LOF),1.5650,-1.07%,1.6014,0.09%,-2.27,折价买入(转场内赎回),T-1:1.6000 v_active_top10_blend
501206,汇添富创新未来混合(LOF),0.9380,-0.95%,0.9578,0.14%,-2.07,折价买入(转场内赎回),T-1:0.9565 v_active_top10_blend
501207,华夏创新未来混合(LOF),0.8180,-0.61%,0.8327,0.10%,-1.77,折价买入(转场内赎回),T-1:0.8319 v_active_top10_blend
501208,中欧创新未来混合(LOF),1.3120,0.15%,1.3212,0.13%,-0.70,无明显机会,T-1:1.3195 v_active_top10_blend
501209,银华富久食品饮料精选混合(LOF)A,0.4670,-1.27%,0.4738,0.09%,-1.44,折价买入(转场内赎回),T-1:0.4734 v_active_top10_blend
501219,华夏智胜先锋股票(LOF)A,1.5210,-1.49%,1.5644,0.00%,-2.77,折价买入(转场内赎回),T-1:1.5644 v_active_top10
501227,泓德红利优选混合(LOF)A,1.0190,-1.07%,1.0417,0.00%,-2.18,折价买入(转场内赎回),T-1:1.0417 v_active_top10
501301,华宝港股通恒生中国(香港上市)30ETF联接(LOF)A,1.1900,-1.00%,1.1805,-2.65%,0.80,无明显机会,T-1:1.2126 v_index_full_no_cash
501302,南方恒指ETF联接(LOF)A,1.1190,-1.06%,1.1122,-2.65%,0.62,无明显机会,T-1:1.1424 v_index_full_no_cash
501303,广发恒生中型股指数(LOF)A,0.9470,-2.17%,0.9441,-2.65%,0.30,无明显机会,T-1:0.9698 v_index_full_no_cash
502000,西部利得中证500指数增强(LOF)A,1.9330,-2.32%,1.9280,-2.61%,0.26,无明显机会,T-1:1.9796 v_index_full_no_cash
502003,易方达中证军工(LOF)A,1.3250,-1.78%,1.3529,0.15%,-2.07,折价买入(转场内赎回),T-1:1.3509 v_active_top10_blend
502006,易方达中证国企改革(LOF)A,1.5870,-0.44%,1.6018,0.16%,-0.93,无明显机会,T-1:1.5992 v_active_top10_blend
502010,易方达中证全指证券公司指数(LOF)A,1.2640,-2.32%,1.2801,-2.01%,-1.26,折价买入(转场内赎回),T-1:1.3064 v_index_full_no_cash
502013,长盛中证申万一带一路指数(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
502023,鹏华国证钢铁行业指数(LOF)A,1.5300,-1.92%,1.5176,-1.58%,0.81,无明显机会,T-1:1.5420 v_index_full_no_cash
502048,易方达上证50指数(LOF)A,1.2760,-0.31%,1.2664,-0.75%,0.76,无明显机会,T-1:1.2760 v_index_full_no_cash
502053,长盛中证证券公司指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
502056,广发中证医疗ETF联接(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
