fund_code,t1_date,t1_nav,estimated_nav,estimated_change_pct,method,official_nav,official_change_pct,trade_date,abs_error_pp,abs_error_ppct,rel_error_ppct
160223,2026-06-01,2.1819,2.2376643683212594,2.5558,v_index_full,2.239,2.62,2026-06-02,0.0013,0.0612,-0.0612
160223,2026-06-02,2.239,2.2738116665522643,1.5548,v_index_full,2.2762,1.66,2026-06-03,0.0024,0.1067,-0.1067
160223,2026-06-03,2.2762,2.2550963701293743,-0.9271,v_index_full,2.2584,-0.78,2026-06-04,0.0033,0.1451,-0.1451
160223,2026-06-04,2.2584,2.183814964761632,-3.3026,v_index_full,2.1898,-3.04,2026-06-05,0.006,0.2651,-0.2651
160223,2026-06-05,2.1898,2.1067500368088408,-3.7926,v_index_full,2.1128,-3.52,2026-06-08,0.006,0.2763,-0.2763
160223,2026-06-08,2.1128,2.1938093958216425,3.8342,v_index_full,2.193,3.8,2026-06-09,0.0008,0.0383,0.0383
160223,2026-06-09,2.193,2.131602212417546,-2.7997,v_index_full,2.1373,-2.54,2026-06-10,0.0057,0.2598,-0.2598
160223,2026-06-10,2.1373,2.1110179526426194,-1.2297,v_index_full,2.1148,-1.05,2026-06-11,0.0038,0.177,-0.177
160223,2026-06-11,2.1148,2.123287371468333,0.4013,v_index_full,2.1236,0.42,2026-06-12,0.0003,0.0148,-0.0148
160223,2026-06-12,2.1236,2.234123274896387,5.2045,v_index_full,2.2304,5.03,2026-06-15,0.0037,0.1753,0.1753
160223,2026-06-15,2.2304,2.2665491784095093,1.6207,v_index_full,2.2673,1.65,2026-06-16,0.0008,0.0337,-0.0337
160223,2026-06-16,2.2673,2.3004578982601753,1.4624,v_index_full,2.3015,1.51,2026-06-17,0.001,0.046,-0.046
160223,2026-06-17,2.3015,2.3463336933071086,1.948,v_index_full,2.3467,1.96,2026-06-18,0.0004,0.0159,-0.0159
160223,2026-06-18,2.3467,2.4034028211869085,2.4163,v_index_full,2.404,2.44,2026-06-22,0.0006,0.0254,-0.0254
160223,2026-06-22,2.404,2.309394153503975,-3.9354,v_index_full,2.3146,-3.72,2026-06-23,0.0052,0.2166,-0.2166
160223,2026-06-23,2.3146,2.344987550234459,1.3129,v_index_full,2.3454,1.33,2026-06-24,0.0004,0.0178,-0.0178
160223,2026-06-24,2.3454,2.409567173434219,2.7359,v_index_full,2.4078,2.66,2026-06-25,0.0018,0.0754,0.0754
160223,2026-06-25,2.4078,2.3074828310605997,-4.1663,v_index_full,2.3158,-3.82,2026-06-26,0.0083,0.3454,-0.3454
160223,2026-06-26,2.3158,2.325901879233438,0.4362,v_index_full,2.3273,0.5,2026-06-29,0.0014,0.0604,-0.0604
160223,2026-06-29,2.3273,2.394522377342396,2.8884,v_index_full,2.392,2.78,2026-06-30,0.0025,0.1084,0.1084
160223,2026-06-30,2.392,2.344446710925338,-1.988,v_index_full,2.3493,-1.79,2026-07-01,0.0049,0.2029,-0.2029
160223,2026-07-01,2.3493,2.212716990165444,-5.8138,v_index_full,2.2236,-5.35,2026-07-02,0.0109,0.4633,-0.4633
160223,2026-07-02,2.2236,2.2228492895945084,-0.0338,v_index_full,2.2247,0.05,2026-07-03,0.0019,0.0833,-0.0833
160223,2026-07-03,2.2247,2.1831417368618986,-1.868,v_index_full,2.1875,-1.67,2026-07-06,0.0044,0.1959,-0.1959
