method,date,t1_nav,estimated_nav,official_nav,estimated_change_pct,official_change_pct,error_pp,over_threshold
v_index_full,2026-07-07,2.1875,2.164842,2.1679,-1.0358,-0.896,-0.1398,0
v_index_full,2026-07-08,2.1679,2.128848,2.1334,-1.8014,-1.5914,-0.21,0
v_index_full,2026-07-09,2.1334,2.227149,2.2228,4.3943,4.1905,0.2039,0
v_index_full,2026-07-10,2.2228,2.123524,2.1318,-4.4662,-4.0939,-0.3723,0
v_index_full,2026-07-13,2.1318,2.063533,2.068,-3.2023,-2.9928,-0.2095,0
v_index_full,2026-07-14,2.068,2.136811,2.1343,3.3274,3.206,0.1214,0
v_index_full_no_cash,2026-04-28,2.023,1.994127,1.9956,-1.4272,-1.3544,-0.0728,0
v_index_full_no_cash,2026-04-29,1.9956,2.045789,2.0432,2.515,2.3852,0.1297,0
v_index_full_no_cash,2026-04-30,2.0432,2.037648,2.0393,-0.2718,-0.1909,-0.0809,0
v_index_full_no_cash,2026-05-06,2.0393,2.095319,2.0919,2.747,2.5793,0.1677,0
v_index_full_no_cash,2026-05-07,2.0919,2.122296,2.1207,1.453,1.3767,0.0763,0
v_index_full_no_cash,2026-05-08,2.1207,2.100268,2.1015,-0.9634,-0.9054,-0.0581,0
v_index_full_no_cash,2026-05-11,2.1015,2.175042,2.1713,3.4995,3.3214,0.1781,0
v_index_full_no_cash,2026-05-12,2.1713,2.174565,2.1748,0.1504,0.1612,-0.0108,0
v_index_full_no_cash,2026-05-13,2.1748,2.231977,2.2289,2.6291,2.4876,0.1415,0
v_index_full_no_cash,2026-05-14,2.2289,2.180775,2.1833,-2.1591,-2.0459,-0.1133,0
v_index_full_no_cash,2026-05-15,2.1833,2.171101,2.1724,-0.5587,-0.4992,-0.0595,0
v_index_full_no_cash,2026-05-18,2.1724,2.164555,2.1656,-0.3611,-0.313,-0.0481,0
v_index_full_no_cash,2026-05-19,2.1656,2.162039,2.1625,-0.1644,-0.1431,-0.0213,0
v_index_full_no_cash,2026-05-20,2.1625,2.169887,2.1692,0.3416,0.3098,0.0318,0
v_index_full_no_cash,2026-05-21,2.1692,2.118308,2.1219,-2.3461,-2.1805,-0.1656,0
v_index_full_no_cash,2026-05-22,2.1219,2.182138,2.1768,2.8389,2.5873,0.2516,0
v_index_full_no_cash,2026-05-25,2.1768,2.222485,2.2189,2.0987,1.934,0.1647,0
v_index_full_no_cash,2026-05-26,2.2189,2.230988,2.2304,0.5448,0.5183,0.0265,0
v_index_full_no_cash,2026-05-27,2.2304,2.231893,2.2322,0.067,0.0807,-0.0138,0
v_index_full_no_cash,2026-05-28,2.2322,2.275954,2.2733,1.9601,1.8412,0.1189,0
v_index_full_no_cash,2026-05-29,2.2733,2.225287,2.2273,-2.1121,-2.0235,-0.0885,0
v_index_full_no_cash,2026-06-01,2.2273,2.179307,2.1819,-2.1548,-2.0383,-0.1164,0
v_index_full_no_cash,2026-06-02,2.1819,2.239846,2.239,2.6558,2.617,0.0388,0
