fund_code,t1_date,t1_nav,estimated_nav,estimated_change_pct,method,official_nav,official_change_pct,trade_date,abs_error_pp,abs_error_ppct,rel_error_ppct
160223,2026-05-19,2.1625,2.1698869759479367,0.3416,v_index_full_no_cash,2.1692,0.31,2026-05-20,0.0007,0.0318,0.0318
160223,2026-05-20,2.1692,2.1183078964217605,-2.3461,v_index_full_no_cash,2.1219,-2.18,2026-05-21,0.0036,0.1656,-0.1656
160223,2026-05-21,2.1219,2.1821382888673213,2.8389,v_index_full_no_cash,2.1768,2.59,2026-05-22,0.0053,0.2516,0.2516
160223,2026-05-22,2.1768,2.222484865565639,2.0987,v_index_full_no_cash,2.2189,1.93,2026-05-25,0.0036,0.1647,0.1647
160223,2026-05-25,2.2189,2.2309878610649663,0.5448,v_index_full_no_cash,2.2304,0.52,2026-05-26,0.0006,0.0265,0.0265
160223,2026-05-26,2.2304,2.231893345099981,0.067,v_index_full_no_cash,2.2322,0.08,2026-05-27,0.0003,0.0137,-0.0137
160223,2026-05-27,2.2322,2.2759537954798748,1.9601,v_index_full_no_cash,2.2733,1.84,2026-05-28,0.0027,0.1189,0.1189
160223,2026-05-28,2.2733,2.2252865725592867,-2.1121,v_index_full_no_cash,2.2273,-2.02,2026-05-29,0.002,0.0886,-0.0886
160223,2026-05-29,2.2273,2.179307114895649,-2.1548,v_index_full_no_cash,2.1819,-2.04,2026-06-01,0.0026,0.1165,-0.1165
160223,2026-06-01,2.1819,2.239846268321259,2.6558,v_index_full_no_cash,2.239,2.62,2026-06-02,0.0008,0.0388,0.0388
160223,2026-06-02,2.239,2.2760506665522646,1.6548,v_index_full_no_cash,2.2762,1.66,2026-06-03,0.0001,0.0067,-0.0067
160223,2026-06-03,2.2762,2.257372570129374,-0.8271,v_index_full_no_cash,2.2584,-0.78,2026-06-04,0.001,0.0451,-0.0451
160223,2026-06-04,2.2584,2.1860733647616315,-3.2026,v_index_full_no_cash,2.1898,-3.04,2026-06-05,0.0037,0.1651,-0.1651
160223,2026-06-05,2.1898,2.108939836808841,-3.6926,v_index_full_no_cash,2.1128,-3.52,2026-06-08,0.0039,0.1763,-0.1763
160223,2026-06-08,2.1128,2.195922195821643,3.9342,v_index_full_no_cash,2.193,3.8,2026-06-09,0.0029,0.1383,0.1383
160223,2026-06-09,2.193,2.1337952124175463,-2.6997,v_index_full_no_cash,2.1373,-2.54,2026-06-10,0.0035,0.1598,-0.1598
160223,2026-06-10,2.1373,2.113155252642619,-1.1297,v_index_full_no_cash,2.1148,-1.05,2026-06-11,0.0016,0.077,-0.077
160223,2026-06-11,2.1148,2.125402171468333,0.5013,v_index_full_no_cash,2.1236,0.42,2026-06-12,0.0018,0.0852,0.0852
160223,2026-06-12,2.1236,2.236246874896387,5.3045,v_index_full_no_cash,2.2304,5.03,2026-06-15,0.0058,0.2753,0.2753
160223,2026-06-15,2.2304,2.268779578409509,1.7207,v_index_full_no_cash,2.2673,1.65,2026-06-16,0.0015,0.0663,0.0663
160223,2026-06-16,2.2673,2.3027251982601755,1.5624,v_index_full_no_cash,2.3015,1.51,2026-06-17,0.0012,0.054,0.054
160223,2026-06-17,2.3015,2.348635193307109,2.048,v_index_full_no_cash,2.3467,1.96,2026-06-18,0.0019,0.0841,0.0841
160223,2026-06-18,2.3467,2.4057495211869084,2.5163,v_index_full_no_cash,2.404,2.44,2026-06-22,0.0017,0.0746,0.0746
160223,2026-06-22,2.404,2.3117981535039753,-3.8354,v_index_full_no_cash,2.3146,-3.72,2026-06-23,0.0028,0.1166,-0.1166
160223,2026-06-23,2.3146,2.3473021502344595,1.4129,v_index_full_no_cash,2.3454,1.33,2026-06-24,0.0019,0.0822,0.0822
160223,2026-06-24,2.3454,2.4119125734342184,2.8359,v_index_full_no_cash,2.4078,2.66,2026-06-25,0.0041,0.1754,0.1754
160223,2026-06-25,2.4078,2.3098906310606,-4.0663,v_index_full_no_cash,2.3158,-3.82,2026-06-26,0.0059,0.2454,-0.2454
160223,2026-06-26,2.3158,2.328217679233438,0.5362,v_index_full_no_cash,2.3273,0.5,2026-06-29,0.0009,0.0396,0.0396
160223,2026-06-29,2.3273,2.3968496773423955,2.9884,v_index_full_no_cash,2.392,2.78,2026-06-30,0.0048,0.2084,0.2084
160223,2026-06-30,2.392,2.346838710925338,-1.888,v_index_full_no_cash,2.3493,-1.79,2026-07-01,0.0025,0.1029,-0.1029
160223,2026-07-01,2.3493,2.2150662901654443,-5.7138,v_index_full_no_cash,2.2236,-5.35,2026-07-02,0.0085,0.3633,-0.3633
160223,2026-07-02,2.2236,2.225072889594508,0.0662,v_index_full_no_cash,2.2247,0.05,2026-07-03,0.0004,0.0167,0.0167
160223,2026-07-03,2.2247,2.185366436861899,-1.768,v_index_full_no_cash,2.1875,-1.67,2026-07-06,0.0021,0.0959,-0.0959
