date,t1_date,t1_nav,official_nav,official_pct,v_active_top10,v_active_top10_est_pct,v_active_bench_csi300,v_active_bench_csi300_est_pct,v_active_bench_csi500,v_active_bench_csi500_est_pct,v_active_bench_csi1000,v_active_bench_csi1000_est_pct,v_active_bench_cyb,v_active_bench_cyb_est_pct,v_active_top10_blend_csi1000_a0.3,v_active_top10_blend_est_pct,v_active_alpha,v_active_top10_resid_csi1000,v_active_top10_resid_cyb,v_active_top10_resid_csi500
2026-05-14,2026-05-13,3.574,3.535,-0.010912143256854981,"(3.5138869365664958, None)",-0.01681954768704637,"(3.5141192175325338, -0.5906869156284691)",-0.016754555810706808,"(3.4745807011899994, -1.709173940876966)",-0.027817375156687363,"(3.5034662106760277, -0.8920449596597577)",-0.019735251629538913,"(3.4968325692804427, -1.0797010104542408)",-0.021591334840390875,"(3.5118851876254817, -0.6538843670302235)",-0.017379634128292683,"(3.5072144400964484, -0.7860130100014623)","(3.5072144400964484, -0.7860130100014623)","(3.506586897620426, -0.8037652724066244)","(3.5044818708990704, -0.8633134116246045)"
2026-05-15,2026-05-14,3.535,3.497,-0.010749646393210821,"(3.50423720986536, None)",-0.00870234515831405,"(3.4954364020081403, -0.04471255338460299)",-0.011191965485674596,"(3.4804417082643373, -0.47349990665320535)",-0.015433745894105505,"(3.4963206879280313, -0.019425566827811987)",-0.010941813881745059,"(3.5152490774814362, 0.5218495133381853)",-0.005587248237217619,"(3.503139490988757, 0.17556451211773874)",-0.009012873836277975,"(3.5005781469433517, 0.10232047307268488)","(3.5005781469433517, 0.10232047307268488)","(3.502368772595104, 0.1535250956563956)","(3.499075995467166, 0.05936504052519533)"
2026-05-18,2026-05-15,3.497,3.483,-0.004003431512725133,"(3.424845992975384, None)",-0.02063311610655305,"(3.478240549774436, -0.1366480110698794)",-0.005364441013887275,"(3.504330049140475, 0.6124045116415473)",0.002096096408485885,"(3.5121271515598798, 0.836266194656321)",0.004325751089470948,"(3.484371309553624, 0.03937150598977479)",-0.0036112926641052047,"(3.4252753015366535, -1.6573269728207465)",-0.020510351290633867,"(3.4262770215129486, -1.628566709361227)","(3.4262770215129486, -1.628566709361227)","(3.423651318859157, -1.7039529469090795)","(3.425539415624073, -1.6497440245744197)"
2026-05-19,2026-05-18,3.483,3.475,-0.0022968705139247794,"(3.5449085404523206, None)",0.017774487640631748,"(3.496949945629731, 0.6316531116469277)",0.004005152348472764,"(3.513011846410148, 1.0938660837452594)",0.00861666563598843,"(3.5183212308002116, 1.246654123747095)",0.010141036692567109,"(3.4772731068041765, 0.06541314544392407)",-0.0016442415147354381,"(3.5459109569824303, 2.040603078631085)",0.0180622902619668,"(3.5482499288860203, 2.107911622619287)","(3.5482499288860203, 2.107911622619287)","(3.544366776355995, 1.9961662260718012)","(3.5477476611227203, 2.093457874035115)"
2026-05-20,2026-05-19,3.475,3.528,0.01525179856115106,"(3.6540255308007734, None)",0.051518138359934795,"(3.473436820957769, -1.5465753696777547)",-0.00044983569560609496,"(3.486422301437677, -1.1785061950771785)",0.0032869932194754792,"(3.4751045421855458, -1.499304359820132)",3.0084082171482436e-05,"(3.4868704006562217, -1.1658049700617448)",0.0034159426348838364,"(3.654028497707999, 3.57223632959181)",0.05151899214618682,"(3.6540354204915264, 3.5724325536146933)","(3.6540354204915264, 3.5724325536146933)","(3.655148470702852, 3.603981595885823)","(3.655106080516778, 3.6027800599993784)"
2026-05-21,2026-05-20,3.528,3.43,-0.027777777777777738,"(3.4157581272977375, None)",-0.03181458976821496,"(3.478831868390129, 1.4236696323652764)",-0.01393654524089304,"(3.431623712932514, 0.04733856946104499)",-0.027317541685795414,"(3.40848412436953, -0.6272850038037989)",-0.0338763819814257,"(3.4452287749289927, 0.443987607259258)",-0.023461231596090513,"(3.4123662667473447, -0.5141030102815012)",-0.03277600148884782,"(3.4044519254630954, -0.7448418232333753)","(3.4044519254630954, -0.7448418232333753)","(3.4079279694060203, -0.6434994342268188)","(3.4066409305411534, -0.6810224332025306)"
2026-05-22,2026-05-21,3.43,3.499,0.020116618075801732,"(3.5011896190538168, None)",0.020754990977788997,"(3.474459289774117, -0.7013635388934838)",0.012961892062424728,"(3.4939992543798657, -0.14291928036966037)",0.018658674746316464,"(3.5034202918372794, 0.12633014682135815)",0.021405332897166052,"(3.5273737361868664, 0.8109098653005526)",0.028388844369348715,"(3.5032732869361585, 0.12212880640635497)",0.02136247432541057,"(3.5081351786616235, 0.2610796988174732)","(3.5081351786616235, 0.2610796988174732)","(3.5104011744970944, 0.3258409401856051)","(3.507243948518152, 0.23560870300519576)"
2026-05-25,2026-05-22,3.499,3.473,-0.007430694484138395,"(3.5019080461082774, None)",0.0008311077760153511,"(3.5542469959315564, 2.3393894595898788)",0.015789367228224212,"(3.5507898049887254, 2.2398446584717986)",0.014801316087089207,"(3.541927492440179, 1.9846672168205948)",0.0122685031266588,"(3.5724340980403206, 2.8630606979648943)",0.020987167202149423,"(3.50312632834373, 0.8674439488548829)",0.001179287894749928,"(3.505968986893119, 0.9492941806253704)","(3.505968986893119, 0.9492941806253704)","(3.5088549117828918, 1.0323902039416042)","(3.506807361660211, 0.9734339666055583)"
2026-05-26,2026-05-25,3.473,3.437,-0.010365678088108274,"(3.443508012429109, None)",-0.008491790259398493,"(3.491525124263527, 1.5864161845658122)",0.005334040962720111,"(3.4549361017889706, 0.5218534125391551)",-0.0052012376075523505,"(3.4287714390625084, -0.23941114162035118)",-0.012734972916064267,"(3.491919798764535, 1.5978992948657358)",0.005447681763471225,"(3.4422528058697033, 0.15283112800999266)",-0.008853208790756397,"(3.4393239905644224, 0.0676168334135165)","(3.4393239905644224, 0.0676168334135165)","(3.4452978253922337, 0.24142640070508856)","(3.4417991676583455, 0.13963246023699882)"
2026-05-27,2026-05-26,3.437,3.39,-0.013674716322374079,"(3.4803708641564732, None)",0.012618814127574554,"(3.409437864211297, 0.573388324817011)",-0.008019242301048371,"(3.386334271088726, -0.10813359620278046)",-0.014741265321871885,"(3.381318423441794, -0.2560937037818946)",-0.016200633272681408,"(3.4393012137323504, 1.4543130894498613)",0.0006695413827032096,"(3.4787906210137516, 2.6191923602876535)",0.012159040155295855,"(3.4751033870140673, 2.5104243956951966)","(3.4751033870140673, 2.5104243956951966)","(3.4805885589755543, 2.6722288783349315)","(3.475577886201467, 2.524421421872173)"
