date,t1_date,t1_nav,est_nav,off_nav,est_pct,off_pct,err_pp,method
2026-06-18,2026-06-17,3.404,3.4248220995470366,3.43,0.006116950513230555,0.007638072855464232,-0.1509591968794027,v_active_top10_blend
2026-06-22,2026-06-18,3.43,3.4596117178564327,3.489,0.008633153894003714,0.017201166180757933,-0.8423124718706548,v_active_top10_blend
2026-06-23,2026-06-22,3.489,3.430555500742414,3.391,-0.016751074593747736,-0.028088277443393483,1.1664848346332706,v_active_top10_blend
2026-06-24,2026-06-23,3.391,3.4264562617057357,3.455,0.010455989886681246,0.018873488646417004,-0.8261574035966535,v_active_top10_blend
2026-06-25,2026-06-24,3.455,3.4651944555100838,3.448,0.0029506383531357613,-0.002026049204052132,0.49867910412076005,v_active_top10_blend
2026-06-26,2026-06-25,3.448,3.3778323686595844,3.356,-0.020350241108009193,-0.026682134570765684,0.6505473378898835,v_active_top10_blend
2026-06-29,2026-06-26,3.356,3.3549028456736387,3.374,-0.0003269232200122974,0.005363528009535232,-0.5660093161340067,v_active_top10_blend
2026-06-30,2026-06-29,3.374,3.440521133212521,3.478,0.019715807116929697,0.030823947836395995,-1.077598240008029,v_active_top10_blend
2026-07-01,2026-06-30,3.478,3.499111380639666,3.409,0.006069977182192543,-0.019838987924094418,2.643337654434329,v_active_top10_blend
2026-07-02,2026-07-01,3.409,3.331793396683201,3.257,-0.022647874249574308,-0.044587855676151276,2.2963892134848343,v_active_top10_blend
2026-07-03,2026-07-02,3.257,3.2556270152552935,3.239,-0.0004215488930631623,-0.005526558182376493,0.5133379208179575,v_active_top10_blend
2026-07-06,2026-07-03,3.239,3.1944588839606207,3.164,-0.013751502327687315,-0.0231552948440876,0.9626701631043165,v_active_top10_blend
2026-07-07,2026-07-06,3.164,3.1129736001084916,3.109,-0.016127180749528718,-0.0173830594184577,0.12780958856518398,v_active_top10_blend
2026-07-08,2026-07-07,3.109,3.053891130939733,3.044,-0.01772559313614248,-0.020907044065615936,0.3249385985457598,v_active_top10_blend
2026-07-09,2026-07-08,3.044,3.098661246749605,3.104,0.017957045581342125,0.019710906701708296,-0.17199591657200425,v_active_top10_blend
2026-07-10,2026-07-09,3.104,3.0735529594725453,3.03,-0.009808969242092423,-0.023840206185567103,1.4373914017341733,v_active_top10_blend
2026-07-13,2026-07-10,3.03,2.9086404560550783,2.88,-0.04005265476730085,-0.04950495049504948,0.9944602796902211,v_active_top10_blend
2026-07-14,2026-07-13,2.88,2.9206106894929835,2.957,0.014100933851730333,0.026736111111111096,-1.2306158439978467,v_active_top10_blend
2026-07-15,2026-07-14,2.957,2.924974004289902,2.91,-0.01083057007443286,-0.015894487656408423,0.5145705941547013,v_active_top10_blend
2026-07-16,2026-07-15,2.91,2.8545922235975683,2.819,-0.01904047299052644,-0.0312714776632303,1.2625833131453816,v_active_top10_blend
