date,open,high,low,close,volume,amount
2025-08-20,36.34,37.35,36.11,37.03,15080318.0,0.0
2025-08-21,37.1,38.3,36.8,37.43,18438056.0,0.0
2025-08-22,37.2,38.66,36.77,38.09,19670805.0,0.0
2025-08-25,38.4,39.3,37.66,38.7,26093724.0,0.0
2025-08-26,38.53,38.62,37.76,38.09,12480307.0,0.0
2025-08-27,38.02,38.02,35.66,35.7,25611752.0,0.0
2025-08-28,35.58,37.69,35.4,37.65,21664873.0,0.0
2025-08-29,37.25,38.35,36.3,36.73,21589455.0,0.0
2025-09-01,36.59,36.99,35.91,36.39,14679396.0,0.0
2025-09-02,36.36,38.17,36.09,36.46,19122944.0,0.0
2025-09-03,36.46,37.09,35.7,35.96,12898519.0,0.0
2025-09-04,35.9,36.07,33.41,34.0,24907024.0,0.0
2025-09-05,34.11,34.98,34.02,34.76,14602461.0,0.0
2025-09-08,35.01,36.58,35.0,36.32,17805827.0,0.0
2025-09-09,36.3,37.8,35.92,36.49,15668825.0,0.0
2025-09-10,35.92,37.41,35.92,36.94,13910575.0,0.0
2025-09-11,36.53,37.33,36.03,36.91,13234642.0,0.0
2025-09-12,36.94,37.26,36.08,36.64,9690418.0,0.0
2025-09-15,36.6,37.34,36.01,36.5,10496606.0,0.0
2025-09-16,36.4,37.85,36.1,37.05,15528751.0,0.0
2025-09-17,37.01,37.19,35.93,36.37,12477125.0,0.0
2025-09-18,36.2,36.59,35.2,35.58,10445016.0,0.0
2025-09-19,35.64,36.68,35.51,35.66,8558721.0,0.0
2025-09-22,35.65,36.0,34.89,35.27,7979994.0,0.0
2025-09-23,35.39,37.53,35.06,36.43,18634314.0,0.0
2025-09-24,36.59,37.87,36.06,37.76,16860454.0,0.0
2025-09-25,37.84,38.5,36.71,36.8,15838062.0,0.0
2025-09-26,36.77,39.0,36.2,37.76,21411288.0,0.0
2025-09-29,37.9,38.21,36.02,36.5,19169383.0,0.0
2025-09-30,36.5,37.66,36.31,36.74,11458149.0,0.0
2025-10-09,36.2,37.14,35.78,36.7,10259542.0,0.0
2025-10-10,36.43,39.96,35.82,38.81,30259618.0,0.0
2025-10-13,37.45,39.0,37.45,38.62,21700205.0,0.0
2025-10-14,38.69,44.35,38.6,43.52,46354812.0,0.0
2025-10-15,43.32,43.4,41.68,42.81,27790763.0,0.0
2025-10-16,42.82,45.99,41.95,45.5,41062676.0,0.0
2025-10-17,45.05,48.79,41.69,42.96,47788189.0,0.0
2025-10-20,42.89,42.99,40.6,42.01,30171836.0,0.0
2025-10-21,42.0,42.49,41.2,41.66,20238549.0,0.0
